loci,loci_ampl_rate_Total,loci_ampl_rate_Buenaventura,loci_ampl_rate_Quibdó,loci_ampl_rate_Guapi,loci_ampl_rate_Tumaco,loci_ampl_rate_Puerto Inírida
PF3D7_0710400,0.700607902735562,0.779166666666667,0.777586206896552,0.583518930957684,0.888888888888889,0.206896551724138
PF3D7_0711500,0.645136778115502,0.55,0.722413793103448,0.639198218262806,0.5,0.0689655172413793
PF3D7_0716300,0.918693009118541,0.8875,0.918965517241379,0.955456570155902,0.944444444444444,0.586206896551724
PF3D7_0724700,0.85790273556231,0.8375,0.843103448275862,0.924276169265033,0.944444444444444,0.241379310344828
PF3D7_0728200,0.895896656534954,0.866666666666667,0.887931034482759,0.953229398663697,0.944444444444444,0.379310344827586
PF3D7_0729700,0.810030395136778,0.8375,0.836206896551724,0.792873051224944,0.944444444444444,0.241379310344828
PF3D7_0802000,0.870060790273556,0.854166666666667,0.856896551724138,0.930957683741648,0.944444444444444,0.275862068965517
PF3D7_0806200,0.920212765957447,0.879166666666667,0.920689655172414,0.966592427616927,0.944444444444444,0.517241379310345
PF3D7_0806300,0.893617021276596,0.866666666666667,0.887931034482759,0.951002227171492,0.944444444444444,0.310344827586207
PF3D7_0807800,0.917933130699088,0.891666666666667,0.922413793103448,0.951002227171492,0.944444444444444,0.517241379310345
PF3D7_0809400,0.846504559270517,0.845833333333333,0.839655172413793,0.902004454342984,0.888888888888889,0.103448275862069
PfDHPS_2,0.82370820668693,0.804166666666667,0.808620689655172,0.89532293986637,0.888888888888889,0.137931034482759
PfDHPS_1,0.835106382978723,0.816666666666667,0.827586206896552,0.89977728285078,0.888888888888889,0.103448275862069
PF3D7_0827100,0.933890577507599,0.9,0.937931034482759,0.968819599109131,0.944444444444444,0.586206896551724
GAMA,0.917933130699088,0.891666666666667,0.912068965517241,0.964365256124722,0.944444444444444,0.517241379310345
PF3D7_0830800_1,0.701367781155015,0.6625,0.717241379310345,0.741648106904232,0.777777777777778,0.0344827586206896
PF3D7_0830800_2,0.265197568389058,0.191666666666667,0.33448275862069,0.242761692650334,0,0
RhopH3,0.661094224924012,0.645833333333333,0.681034482758621,0.67706013363029,0.888888888888889,0
PF3D7_0905600,0.596504559270517,0.625,0.696551724137931,0.487750556792873,0.666666666666667,0
PF3D7_0910000,0.920212765957447,0.8875,0.912068965517241,0.971046770601336,0.944444444444444,0.551724137931034
PF3D7_0935400,0.888297872340426,0.875,0.882758620689655,0.935412026726058,0.944444444444444,0.344827586206897
PF3D7_1007900,0.869300911854103,0.854166666666667,0.863793103448276,0.924276169265033,0.944444444444444,0.206896551724138
PF3D7_1008700,0.907294832826748,0.879166666666667,0.905172413793103,0.948775055679287,0.944444444444444,0.517241379310345
PF10_0119,0.89209726443769,0.883333333333333,0.891379310344828,0.926503340757238,0.944444444444444,0.413793103448276
PF3D7_1018600,0.838905775075988,0.795833333333333,0.844827586206897,0.888641425389755,0.944444444444444,0.241379310344828
PF3D7_1022000,0.826747720364742,0.808333333333333,0.822413793103448,0.88195991091314,0.944444444444444,0.137931034482759
PF3D7_1034900_1,0.663373860182371,0.633333333333333,0.7,0.665924276169265,0.833333333333333,0.0344827586206896
PF3D7_1035100,0.872340425531915,0.866666666666667,0.855172413793103,0.937639198218263,0.944444444444444,0.206896551724138
PF3D7_1035700,0.870820668693009,0.854166666666667,0.851724137931035,0.946547884187082,0.944444444444444,0.172413793103448
MSP11.H103.MSP3.7,0.547872340425532,0.633333333333333,0.310344827586207,0.830734966592428,0.833333333333333,0.0344827586206896
PF3D7_1110200,0.849544072948328,0.833333333333333,0.836206896551724,0.915367483296214,0.944444444444444,0.172413793103448
PF3D7_1114900,0.84726443768997,0.833333333333333,0.856896551724138,0.88195991091314,0.944444444444444,0.172413793103448
PF3D7_1125700,0.51063829787234,0.591666666666667,0.560344827586207,0.43652561247216,0.388888888888889,0.0689655172413793
PF3D7_1126100_1,0.778115501519757,0.804166666666667,0.818965517241379,0.732739420935412,0.944444444444444,0.344827586206897
PF3D7_1126100_2,0.70516717325228,0.675,0.720689655172414,0.739420935412027,0.833333333333333,0.0344827586206896
PF3D7_1129100,0.822188449848024,0.7875,0.817241379310345,0.884187082405345,0.944444444444444,0.172413793103448
PfAMA_1,0.856382978723404,0.845833333333333,0.846551724137931,0.917594654788419,0.944444444444444,0.137931034482759
PF11_0373,0.919452887537994,0.891666666666667,0.924137931034483,0.964365256124722,0.944444444444444,0.344827586206897
PF3D7_1145400,0.89741641337386,0.866666666666667,0.887931034482759,0.955456570155902,0.944444444444444,0.413793103448276
PF3D7_1148700_1,0.518237082066869,0.491666666666667,0.505172413793104,0.576837416481069,0.666666666666667,0
PF3D7_1211900,0.876899696048632,0.85,0.867241379310345,0.944320712694877,0.944444444444444,0.206896551724138
GRP94,0.765197568389058,0.7125,0.760344827586207,0.841870824053452,0.888888888888889,0.0344827586206896
PF3D7_1224000,0.667933130699088,0.695833333333333,0.736206896551724,0.596881959910913,0.888888888888889,0.0344827586206896
PF3D7_1233600,0.822948328267477,0.8,0.817241379310345,0.875278396436526,0.944444444444444,0.241379310344828
PF3D7_1239800_1,0.841945288753799,0.804166666666667,0.831034482758621,0.915367483296214,0.944444444444444,0.172413793103448
PF3D7_1246500,0.831306990881459,0.858333333333333,0.85,0.826280623608018,0.944444444444444,0.241379310344828
PF3D7_1250100,0.724164133738602,0.645833333333333,0.727586206896552,0.801781737193764,0.833333333333333,0.0344827586206896
PF3D7_1250400,0.684650455927052,0.7125,0.732758620689655,0.641425389755011,0.833333333333333,0.0689655172413793
PF3D7_1252100,0.894376899696049,0.858333333333333,0.886206896551724,0.953229398663697,0.944444444444444,0.413793103448276
PF3D7_1302700,0.855623100303951,0.85,0.844827586206897,0.917594654788419,0.888888888888889,0.137931034482759
PF3D7_1302900,0.908054711246201,0.879166666666667,0.905172413793103,0.953229398663697,0.944444444444444,0.482758620689655
MAL13P1.50,0.851823708206687,0.854166666666667,0.839655172413793,0.89532293986637,0.944444444444444,0.344827586206897
PF3D7_1320700,0.544072948328267,0.420833333333333,0.58448275862069,0.590200445434298,0.611111111111111,0
PF13_0125,0.924772036474164,0.895833333333333,0.924137931034483,0.962138084632517,0.944444444444444,0.586206896551724
PF3D7_1322200,0.183890577507599,0.145833333333333,0.231034482758621,0.160356347438753,0.0555555555555556,0
PF3D7_1329100,0.872340425531915,0.841666666666667,0.868965517241379,0.926503340757238,0.944444444444444,0.310344827586207
PF3D7_1332900,0.667173252279635,0.65,0.724137931034483,0.632516703786192,0.944444444444444,0.0344827586206896
PF3D7_1333200,0.531914893617021,0.5375,0.610344827586207,0.463251670378619,0.444444444444444,0.0344827586206896
MSRP4,0.921732522796353,0.895833333333333,0.920689655172414,0.959910913140312,0.944444444444444,0.551724137931034
MSRP3,0.848784194528875,0.854166666666667,0.846551724137931,0.893095768374165,0.944444444444444,0.103448275862069
PfTRAP_1,0.917173252279635,0.883333333333333,0.912068965517241,0.964365256124722,0.944444444444444,0.551724137931034
PF3D7_1340400,0.889817629179331,0.870833333333333,0.88448275862069,0.939866369710468,0.944444444444444,0.344827586206897
PfKelch13C580Y,0.878419452887538,0.845833333333333,0.868965517241379,0.942093541202673,0.944444444444444,0.310344827586207
PF3D7_1346400,0.829787234042553,0.808333333333333,0.820689655172414,0.893095768374165,0.944444444444444,0.137931034482759
PF3D7_1352900,0.851063829787234,0.8375,0.843103448275862,0.913140311804009,0.944444444444444,0.103448275862069
PF3D7_1353100,0.885258358662614,0.854166666666667,0.874137931034483,0.946547884187082,0.944444444444444,0.379310344827586
PF3D7_1354200,0.855623100303951,0.8375,0.855172413793103,0.897550111358575,0.944444444444444,0.310344827586207
PF3D7_1407800,0.876899696048632,0.858333333333333,0.875862068965517,0.922048997772829,0.944444444444444,0.310344827586207
PF3D7_1407900,0.826747720364742,0.808333333333333,0.820689655172414,0.884187082405345,0.944444444444444,0.137931034482759
PF3D7_1408000,0.890577507598784,0.858333333333333,0.893103448275862,0.935412026726058,0.944444444444444,0.379310344827586
PF3D7_1408100_1,0.920212765957447,0.879166666666667,0.929310344827586,0.955456570155902,0.944444444444444,0.517241379310345
PF3D7_1409700,0.77355623100304,0.766666666666667,0.820689655172414,0.755011135857461,0.888888888888889,0.103448275862069
PF3D7_1410300,0.858662613981763,0.841666666666667,0.848275862068966,0.924276169265033,0.944444444444444,0.137931034482759
PF3D7_1418100,0.896656534954407,0.866666666666667,0.891379310344828,0.951002227171492,0.944444444444444,0.379310344827586
Pf113,0.873100303951368,0.858333333333333,0.858620689655172,0.937639198218263,0.944444444444444,0.241379310344828
PF3D7_1429500,0.908814589665654,0.879166666666667,0.906896551724138,0.957683741648107,0.944444444444444,0.413793103448276
PF3D7_1429800,0.870820668693009,0.841666666666667,0.863793103448276,0.926503340757238,0.944444444444444,0.344827586206897
PF3D7_1447900,0.808510638297872,0.783333333333333,0.81551724137931,0.850779510022272,0.888888888888889,0.172413793103448
PF3D7_1448500,0.899696048632219,0.866666666666667,0.893103448275862,0.955456570155902,0.944444444444444,0.413793103448276
GEST,0.887537993920973,0.858333333333333,0.882758620689655,0.939866369710468,0.944444444444444,0.379310344827586
PF3D7_1455300,0.921732522796353,0.883333333333333,0.920689655172414,0.966592427616927,0.944444444444444,0.551724137931034
PF3D7_1464700,0.854863221884498,0.8375,0.841379310344828,0.915367483296214,0.944444444444444,0.275862068965517
PF3D7_1466200,0.271276595744681,0.245833333333333,0.303448275862069,0.271714922048998,0,0
PF3D7_1466800,0.844984802431611,0.825,0.836206896551724,0.906458797327394,0.888888888888889,0.206896551724138
PF3D7_1469600,0.819908814589666,0.8125,0.831034482758621,0.844097995545657,0.944444444444444,0.206896551724138
PF3D7_1472300,0.859422492401216,0.858333333333333,0.886206896551724,0.846325167037862,0.944444444444444,0.482758620689655
PF3D7_1473700,0.911094224924012,0.875,0.903448275862069,0.959910913140312,0.944444444444444,0.586206896551724
PF3D7_1475900,0.839665653495441,0.820833333333333,0.841379310344828,0.888641425389755,0.944444444444444,0.137931034482759
PvDHFR,0.000759878419452908,0.00416666666666665,0,0,0,0
