Yi,Yj,khat,rhat
CON21-71-R1,SP0101254341-R2,2240.35120554911,0.559072727872257
CON21-71-R1,SP0101254347-R1,144767.798934699,0.495281424653104
CON21-71-R1,SP0101254347-R2,5110.53618192014,0.463779876213614
CON21-71-R1,SP0101254356-R2,120693.376975675,0.569694647316444
CON21-71-R1,SP0112286091-R1,109385.611560134,0.465481596724238
CON21-71-R1,SP0112286091-R2,1067.71788183967,0.467951821174759
CON21-71-R1,SP0112286119-R1,135710.070104914,0.512362566105251
CON21-71-R1,SP0112286119-R2,105912.945366732,0.497160743281018
CON21-71-R1,SP0112286144-R1,31592.9596015845,0.584717825348579
CON21-71-R1,SP0112286144-R2,2385.95343243139,0.493896542837865
CON21-71-R1,SP0112286163-R1,6113.05220266527,0.496930634361897
CON21-71-R1,SP0112286163-R2,8382.10120810077,0.458275164154884
CON21-71-R1,SP0112286166-R1,112728.624969916,0.558035802432305
CON21-71-R1,SP0112286166-R2,17701.4214313231,0.566840813139342
CON21-71-R1,SP0112286175-R1,1069.53737721112,0.518939318564435
CON21-71-R1,SP0112286175-R2,442.597057506885,0.531995700369407
CON21-71-R1,SP0112286271-R1,9206.2546547612,0.455500955787963
CON21-71-R1,SP0112286283-R1,129164.281189815,0.555399702272468
CON21-71-R1,SP0112286283-R2,92277.5320865727,0.535237604228593
CON21-71-R1,SP0112286288-R2,3004.12318012139,0.518650136486116
CON21-71-R1,SP0112286309-R1,136585.591461283,0.445576225073326
CON21-71-R1,SP0112286309-R2,8287.90567469637,0.517068975118602
CON21-71-R1,SP0112286325-R1,130312.116162907,0.493565166743539
CON21-71-R1,SP0112286325-R2,139.267937084373,0.50316408112667
CON21-71-R1,SP0112286370-R1,3909.69003072651,0.484447470669267
CON21-71-R1,SP0112286370-R2,2348.48181874988,0.477921165392543
CON21-71-R1,SP0112286435-R1,340.23073744645,0.549507762401282
CON21-71-R1,SP0112286435-R2,875.290381900206,0.519851612737796
CON21-71-R1,SP0112286439-R1,3297.06128309067,0.474217220022467
CON21-71-R1,SP0112286439-R2,3605.84718015661,0.457318419625961
CON21-71-R1,SP0112286453-R1,1623.07478859881,0.495095279277981
CON21-71-R1,SP0112286453-R2,885.253979109206,0.479815603268243
CON21-71-R1,SP0112286484-R1,2086.97313880609,0.534229972200601
CON21-71-R1,SP0112286484-R2,2869.76873382386,0.533791408890984
CON21-71-R1,SP0112286487-R1,141440.115579999,0.518151957202732
CON21-71-R1,SP0112286487-R2,2153.36456833069,0.522854888613771
CON21-71-R1,1-GZ,21058.4377976506,0.559314193651039
CON21-71-R1,118-GZ,12509.0726959313,0.530085415814245
CON21-71-R1,220-GZ-2,140983.90930934,0.518939658215754
CON21-71-R1,32-GZ,4457.80385385786,0.563936694443242
CON21-71-R1,H-118,4430.12954944471,0.591544623926332
CON21-71-R1,H-122,4129.80337313453,0.53033397422939
CON21-71-R1,H-143,106388.845417123,0.484261627523073
CON21-71-R1,H-156,115997.243579616,0.458881610774408
CON21-71-R1,H-159,7218.50733891086,0.533768097407017
CON21-71-R1,H-163,3609.59797683516,0.480513183789929
CON21-71-R1,H-168,14798.8130773511,0.432688286796603
CON21-71-R1,H-169,127050.635590688,0.493552844862477
CON21-71-R1,H-171,12369.9009973684,0.42035453633046
CON21-71-R1,H-175,119876.505579489,0.482725956684934
CON21-71-R1,H-2278,74554.5588970038,0.515137938452991
CON21-71-R1,H-2280,4592.4747189001,0.483381743945191
CON21-71-R1,H-2286,7995.87079133693,0.484324763645418
CON21-71-R1,H-2287,17726.3619862961,0.531897517156827
CON21-71-R1,H-23,133638.29920167,0.516976956284473
CON21-71-R1,H-85,6694.82483043322,0.532629795167172
CON21-71-R1,H-93,18693.7418841834,0.446453503507459
CON21-71-R2,CON21-75-R1,155.990648693474,0.724266756219442
CON21-71-R2,CON21-76-R1,49.1064324137221,0.999999997936196
CON21-71-R2,CON22-138-R1,49.1064324137221,0.999999997936196
CON21-71-R2,CON22-237-R1,49.1064324137221,0.999999997936196
CON21-71-R2,CON22-285-R1,49.1064324137221,0.999999997936196
CON21-71-R2,CON22-320-R1,49.1064324137221,0.999999997936196
CON21-71-R2,CON22-326-R1,49.1064324137221,0.999999997936196
CON21-71-R2,CON22-327-R1,49.1064324137221,0.999999997936196
CON21-71-R2,HRP0046-R1,60870.7569276237,0.560752085975114
CON21-71-R2,HRP0132-R1,4123.80132767874,0.54160962702457
CON21-71-R2,HRP0144-R1,9012.13565940247,0.562905224625516
CON21-71-R2,HRP0148-R1,130977.91495511,0.568575902378509
