                           input filtered denoisedF denoisedR merged nonchim
G4G1912_S65                 4240     3887      3410      3190   3128    3128
G4G2323_S127                1001      967       896       831    828     828
G4G1320_S240               56467    51779     49364     47725  46207   46207
G4G2206_S219               37927    34636     32452     33601  31609   31609
G4G2397_S260                1359     1219      1002       866    746     746
SP0112286561_S295            111      111       111       111    111     111
G4G2088_S54                  439      414       386       333    333     333
Pv-Control-sWGA2-D02_S59  129577   119072    115471    116856 112485  112485
G7B0483_S113                5830     5322      4492      4484   4281    4281
SP0101254422_S322          79084    72035     67956     69493  65020   65020
G4G0764_S245                4071     3761      3274      3145   2940    2940
G4G2582_S88                  717      671       502       494    457     457
G4G2115_S216              293617   273184    270870    268253 251613  251613
G4G2493_S49                 4172     3724      2972      2753   2572    2572
G4G2463_S22                29597    27317     25645     26365  24644   24644
G7B0477_S116                5098     4739      4265      4215   4057    4057
G4G2564_S131                9936     9283      8935      8570   8223    8223
SP0112286652_S335         149741   139306    137647    134138 129429  129413
SP0112286570_S291         123025   110024    105867    102975 100254  100254
G4G3225_S386               26227    22803     21579     20869  20523   20523
G4G2328_S191                5833     5285      4732      4605   4491    4491
HRP0370_S373               46852    42821     39730     40856  37746   37746
G4G1213_S100               18148    16698     14938     14867  13722   13722
HRP0390_S351              157094   147831    146596    144667 133625  133625
G4G1984_S266               24259    22519     21172     20703  20221   20221
G4G2496_S60                 5404     5018      4426      4619   4273    4273
G9L0140_S395               10075     9444      8748      8560   7924    7924
G4G0549_S16                  863      747       501       536    457     457
SP0112286656_S333          33874    31286     29977     29863  29032   29032
SP0112286546_S315         126128   114483    109682    111008 105983  105983
HRP0356_S359              119399   110796    104767    107913 101625  101625
G4G0999_S151                1989     1905      1774      1717   1703    1703
G4G2045_S69                   36       34        19        12     12      12
G7B0507_S168                4379     3966      3645      3393   3277    3277
G4G2301_S276                1918     1788      1598      1503   1431    1431
HRP0360_S363               38886    33696     32456     32861  30448   30448
G4G1985_S267                5797     5140      4716      4351   4256    4256
G4G2492_S50                 1131     1072       916      1019    893     893
G4G1922_S90                28071    25694     23104     24644  22551   22551
G4G1364_S239               10951    10118      9445      9430   9167    9167
G4G2365_S123                4728     4458      4046      4078   3596    3596
G4G1123_S154                7989     7377      6521      6865   6208    6208
G4G2171_S120               65872    60778     57108     59110  54269   54269
G4G1394_S43                19365    18400     17458     17327  16881   16881
G7B0472_S143               53557    50054     47916     47963  46298   46298
HRP0358_S361               94173    87732     84163     85920  82714   82714
HRP0366_S369                7435     6768      6090      6350   5894    5894
G4G2129_S212               55309    50336     47916     47228  46062   46062
