hapid	total_reads	total_samples	strain	refid_PvP01	snv_dist_from_PvP01	indel_dist_from_PvP01	bimera
ASV1	26636	42	N	pvpi3k_12	1	0	FALSE
ASV2	24377	72	PvP01	pvabc-e1_3	0	0	FALSE
ASV3	23696	29	N	VPS11	1	0	FALSE
ASV4	21542	35	PvP01	VPS11	0	0	FALSE
ASV5	21019	66	N	PVP01_0912400	1	0	FALSE
ASV6	19921	41	N	FER2_2	1	0	FALSE
ASV7	19186	38	PvP01	PVP01_1438700	0	0	FALSE
ASV8	18889	61	PvP01	pvabc-e1_1	0	0	FALSE
ASV9	17745	46	N	SLARP	1	0	FALSE
ASV10	17354	57	N	TRAG38	1	0	FALSE
ASV11	16927	61	N	pvmdr1_1	1	0	FALSE
ASV12	16739	52	PvP01	PVP01_0412700	0	0	FALSE
ASV13	16238	69	PvP01	pvdhps_4	0	0	FALSE
ASV14	15666	48	PvP01	PVP01_0504000	0	0	FALSE
ASV15	15576	35	PvP01	HSP20	0	0	FALSE
ASV16	15472	37	N	PVP01_1014100	6	0	FALSE
ASV17	14941	29	PvP01	RAMA	0	0	FALSE
ASV18	14486	41	PvP01	PVP01_0306200	0	0	FALSE
ASV19	13631	71	N	MyoB	1	0	FALSE
ASV20	13420	49	N	RPA2	1	0	FALSE
ASV21	13371	28	N	HSP20	1	0	FALSE
ASV22	13349	32	PvP01	PVP01_0116700	0	0	FALSE
ASV23	13282	69	PvP01	PVP01_0318900	0	0	FALSE
ASV24	13086	72	PvP01	pvpi3k_1	0	0	FALSE
ASV25	12823	19	N	PIGM	1	0	FALSE
ASV26	12130	18	PvP01	FER2_2	0	0	FALSE
ASV27	11772	61	PvP01	SUMO	0	0	FALSE
ASV28	11756	63	PvP01	PVP01_0615400	0	0	FALSE
ASV29	11719	59	PvP01	pvpi3k_5	0	0	FALSE
ASV30	11548	34	N	ATG11	2	0	FALSE
ASV31	11463	63	N	PVP01_0117000	3	0	FALSE
ASV32	11214	49	PvP01	MED14	0	0	FALSE
ASV33	10685	48	PvP01	ATAT	0	0	FALSE
ASV34	10511	38	N	ATG11	1	0	FALSE
ASV35	10276	19	N	PVP01_0504000	2	0	FALSE
ASV36	9760	65	PvP01	pvdhfr	0	0	FALSE
ASV37	9745	32	N	TRAG16_1	2	0	FALSE
ASV38	9647	54	N	ROM10	2	0	FALSE
ASV39	9625	59	PvP01	GCN20	0	0	FALSE
ASV40	9480	8	PvP01	PVP01_1144400	0	0	FALSE
ASV41	9095	59	PvP01	PVP01_0933300	0	0	FALSE
ASV42	9089	51	PvP01	pvpi3k_10	0	0	FALSE
ASV43	9063	46	N	LSM8	1	0	FALSE
ASV44	9048	32	PvP01	PVP01_0202600	0	0	FALSE
ASV45	8908	58	PvP01	PCD	0	0	FALSE
ASV46	8854	49	N	GAP50	1	0	FALSE
ASV47	8745	33	PvP01	pvpi3k_12	0	0	FALSE
ASV48	8713	41	PvP01	PSOP24	0	0	FALSE
ASV49	8680	11	N	pvabc-e1_1	1	0	FALSE
ASV50	8515	26	N	PIGM	1	0	FALSE
ASV51	8446	31	N	TRAG16_1	8	0	FALSE
ASV52	8299	36	PvP01	PVP01_0527700	0	0	FALSE
ASV53	8068	22	N	PVP01_0202600	1	0	FALSE
ASV54	7954	20	N	pvpi3k_10	1	0	FALSE
ASV55	7834	59	N	ABCI3	2	0	FALSE
ASV56	7671	33	PvP01	ATG12	0	0	FALSE
ASV57	7511	39	N	PVP01_1144400	3	0	FALSE
ASV58	7487	63	PvP01	pvmrp1_10	0	0	FALSE
ASV59	7390	53	PvP01	TLAP2	0	0	FALSE
ASV60	7239	22	N	PVP01_1438700	1	0	FALSE
ASV61	7000	45	PvP01	PVP01_0834800	0	0	FALSE
ASV62	6904	35	N	PVP01_0116700	1	0	FALSE
ASV63	6887	55	PvP01	pvpi3k_14	0	0	FALSE
ASV64	6864	39	PvP01	PVP01_1261400	0	0	FALSE
ASV65	6690	35	N	pvpi3k_2	1	15	FALSE
ASV66	6665	69	PvP01	PVP01_1133200	0	0	FALSE
ASV67	6654	42	N	PVP01_1311000	4	0	FALSE
ASV68	6653	58	PvP01	pvmdr2_6	0	0	FALSE
ASV69	6632	18	N	MED14	4	0	FALSE
ASV70	6622	55	N	HT1	9	0	FALSE
ASV71	6413	19	N	PVP01_0306200	1	0	FALSE
ASV72	6204	44	N	MB2	1	0	FALSE
ASV73	6166	15	N	HSP20	4	0	FALSE
ASV74	6111	23	N	PVP01_0530700	11	0	FALSE
ASV75	6074	64	N	PVP01_1004400	1	0	FALSE
ASV76	5953	21	PvP01	SLARP	0	0	FALSE
ASV77	5894	43	PvP01	B9	0	0	FALSE
ASV78	5875	41	PvP01	BDP6	0	0	FALSE
ASV79	5860	29	N	PVP01_0213400	0	24	FALSE
ASV80	5832	21	N	RPA2	2	0	FALSE
ASV81	5794	20	N	PVP01_1014100	5	18	FALSE
ASV82	5791	30	N	SYN13	1	0	FALSE
ASV83	5705	42	PvP01	PVP01_0215600	0	0	FALSE
ASV84	5692	6	N	PVP01_0530700	2	15	FALSE
ASV85	5657	44	PvP01	DBP_1	0	0	FALSE
ASV86	5656	42	PvP01	pvmrp1_3	0	0	FALSE
ASV87	5543	29	N	PVP01_1024100	2	0	FALSE
ASV88	5462	45	N	PVP01_1147300	3	0	FALSE
ASV89	5423	54	N	pvmdr2_5	1	0	FALSE
ASV90	5394	21	N	PVP01_0202600	1	0	FALSE
ASV91	5380	60	PvP01	PKG	0	0	FALSE
ASV92	5369	26	N	PVP01_1320900	2	0	FALSE
ASV93	5282	58	PvP01	PVP01_0513400	0	0	FALSE
ASV94	5183	32	N	PVP01_1423300	1	0	FALSE
ASV95	5181	48	PvP01	pvmdr2_1	0	0	FALSE
ASV96	5166	17	N	PVP01_0412700	2	0	FALSE
ASV97	5077	7	PvP01	HT1	0	0	FALSE
ASV98	5061	32	N	CWC2	1	0	FALSE
ASV99	4991	66	PvP01	PVP01_1301600_2	0	0	FALSE
ASV100	4924	40	PvP01	PVP01_0215800_1	0	0	FALSE
ASV101	4879	29	N	RIPR	3	0	FALSE
ASV102	4870	9	N	PVP01_1438700	1	0	FALSE
ASV103	4844	1	PvP01	TRAG20	0	0	FALSE
ASV104	4805	28	N	ATG12	1	0	FALSE
ASV105	4699	44	PvP01	PVP01_1233500	0	0	FALSE
ASV106	4642	55	PvP01	PVP01_1469700	0	0	FALSE
ASV107	4640	24	PvP01	PVP01_0838300	0	0	FALSE
ASV108	4588	47	PvP01	PVP01_1256600	0	0	FALSE
ASV109	4573	30	N	KIN17	3	0	FALSE
ASV110	4572	20	N	PVP01_1147300	2	0	FALSE
ASV111	4494	24	N	PVP01_0527700	1	0	FALSE
ASV112	4486	28	N	PVP01_1320900	1	0	FALSE
ASV113	4478	56	PvP01	VPS53	0	0	FALSE
ASV114	4437	29	N	PVP01_0302700	2	0	FALSE
ASV115	4421	29	N	MSP5	4	0	FALSE
ASV116	4420	26	N	PVP01_0707300	1	0	FALSE
ASV117	4396	14	N	FER2_2	1	0	FALSE
ASV118	4393	23	N	PVP01_0215600	4	0	FALSE
ASV119	4374	39	PvP01	ApiAP2_G2	0	0	FALSE
ASV120	4367	45	PvP01	RAP	0	0	FALSE
ASV121	4350	53	N	SNRPB2	4	0	FALSE
ASV122	4328	40	N	PVP01_0931600	2	0	FALSE
ASV123	4324	63	PvP01	pvmdr1_3	0	0	FALSE
ASV124	4295	33	N	FRM1_2	1	0	FALSE
ASV125	4294	23	N	PVP01_1144400	2	0	FALSE
ASV126	4275	64	N	PVP01_MIT00200_500	1	0	FALSE
ASV127	4272	49	PvP01	PVP01_0820800	0	0	FALSE
ASV128	4239	42	N	ApiAP2_1	0	15	FALSE
ASV129	4188	47	N	EMC7	1	0	FALSE
ASV130	4186	61	PvP01	SPM1	0	0	FALSE
ASV131	4148	34	N	ORP1	2	0	FALSE
ASV132	4130	42	PvP01	FCP	0	0	FALSE
ASV133	4103	20	N	PVP01_1261400	1	0	FALSE
ASV134	4096	50	PvP01	FT1	0	0	FALSE
ASV135	4095	22	N	PVP01_0103700_2	1	0	FALSE
ASV136	4027	38	PvP01	G37	0	0	FALSE
ASV137	4002	25	N	PVP01_1344700	1	0	FALSE
ASV138	3967	9	PvP01	GAPDH	0	0	FALSE
ASV139	3956	1	N	PVP01_0116700	2	0	FALSE
ASV140	3912	18	N	PVP01_0838300	2	0	FALSE
ASV141	3905	21	PvP01	pvpi3k_2	0	0	FALSE
ASV142	3902	59	PvP01	RCC-PIP	0	0	FALSE
ASV143	3871	52	N	RBP2b_2	2	0	FALSE
ASV144	3856	15	N	PVP01_1320900	2	0	FALSE
ASV145	3846	40	PvP01	pvmdr1_4	0	0	FALSE
ASV146	3840	46	PvP01	PVP01_1467900	0	0	FALSE
ASV147	3676	8	N	PVP01_1446900	4	0	FALSE
ASV148	3615	26	PvP01	PVP01_0302700	0	0	FALSE
ASV149	3593	37	N	PVP01_0942500	2	0	FALSE
ASV150	3584	39	PvP01	pvpi3k_4	0	0	FALSE
ASV151	3574	18	N	B9	2	0	FALSE
ASV152	3566	34	PvP01	MATE	0	0	FALSE
ASV153	3564	2	N	GAPDH	3	0	FALSE
ASV154	3542	31	N	PVP01_1107600	3	0	FALSE
ASV155	3517	38	PvP01	pvmdr1_5	0	0	FALSE
ASV156	3482	31	N	PVP01_1444400	3	0	FALSE
ASV157	3443	6	N	TRAG16_1	6	0	FALSE
ASV158	3440	31	N	RAMA	1	0	FALSE
ASV159	3431	50	N	CIA1	2	0	FALSE
ASV160	3340	60	N	PVP01_0210500	3	0	FALSE
ASV161	3338	12	N	PVP01_1446900	3	0	FALSE
ASV162	3322	18	N	PIGM	2	0	FALSE
ASV163	3296	51	PvP01	pvdhps_1	0	0	FALSE
ASV164	3244	43	N	PVP01_1421800	0	21	FALSE
ASV165	3234	1	N	PVP01_0530700	6	15	FALSE
ASV166	3183	24	PvP01	PVP01_0103700_2	0	0	FALSE
ASV167	3173	16	N	PVP01_0213400	1	24	FALSE
ASV168	3151	47	N	pBAS	3	0	FALSE
ASV169	3104	15	N	PSOP24	1	0	FALSE
ASV170	3099	62	PvP01	pvk13	0	0	FALSE
ASV171	3090	43	N	TRAP	2	0	FALSE
ASV172	3078	39	N	PWP1	2	0	FALSE
ASV173	3077	24	N	PVP01_1446900	5	0	FALSE
ASV174	3073	24	N	SOD2_2	2	4	FALSE
ASV175	3030	30	N	SEC24B	3	15	FALSE
ASV176	3027	37	PvP01	PVP01_1315600	0	0	FALSE
ASV177	2992	47	PvP01	PVP01_1434400	0	0	FALSE
ASV178	2988	7	N	PVP01_1444400	1	0	FALSE
ASV179	2983	22	N	PVP01_1329500	1	0	FALSE
ASV180	2962	14	N	pvmdr2_1	1	0	FALSE
ASV181	2938	13	N	PVP01_0215800_1	1	0	FALSE
ASV182	2921	40	PvP01	PVP01_1344700	0	0	FALSE
ASV183	2917	51	N	pvmrp2_2	2	0	FALSE
ASV184	2900	29	PvP01	PVP01_1421800	0	0	FALSE
ASV185	2897	16	N	PVP01_1014100	5	0	FALSE
ASV186	2880	44	N	PVP01_0320600	1	0	FALSE
ASV187	2866	19	N	PVP01_0215800_1	1	0	FALSE
ASV188	2857	18	N	PVP01_0838300	1	0	FALSE
ASV189	2846	41	N	ERCC4	1	0	FALSE
ASV190	2808	14	N	SYN13	4	5	FALSE
