hapid	total_reads	total_samples	strain	refid_PvP01	snv_dist_from_PvP01	indel_dist_from_PvP01	bimera
ASV386	957	40	N	PVP01_1308100	1	0	FALSE
ASV387	951	13	N	pvmrp1_3	1	0	FALSE
ASV388	948	5	N	ApiAP2_G2	1	0	FALSE
ASV389	939	10	PvP01	pvmdr1_1	0	0	FALSE
ASV390	934	14	N	B9	1	0	FALSE
ASV391	932	13	N	PVP01_1004100	2	0	FALSE
ASV392	930	18	N	RON11	1	0	FALSE
ASV393	917	10	N	PVP01_0710900	7	0	FALSE
ASV394	902	2	N	PVP01_0615400	1	0	FALSE
ASV395	899	29	N	PVP01_1226900	1	0	FALSE
ASV396	892	19	N	PVP01_1403000	2	0	FALSE
ASV397	885	10	N	FRM1_2	2	0	FALSE
ASV398	874	8	N	ETRAMP11.2	3	0	FALSE
ASV399	872	26	PvP01	PVP01_0942500	0	0	FALSE
ASV400	862	19	PvP01	RBP2a_1	0	0	FALSE
ASV401	860	32	PvP01	PVP01_0119600	0	0	FALSE
ASV402	860	8	N	ATAT	1	0	FALSE
ASV403	856	28	N	SPC25	1	0	FALSE
ASV404	852	24	N	pvpi3k_13	0	9	FALSE
ASV405	849	46	N	PVP01_1136100	0	26	FALSE
ASV406	848	13	N	PVP01_0103700_1	1	0	FALSE
ASV407	845	32	PvP01	PVP01_1463400	0	0	FALSE
ASV408	840	10	N	LSM8	3	0	FALSE
ASV409	840	13	N	GCN20	1	0	FALSE
ASV410	830	24	N	MSP1	16	0	FALSE
ASV411	819	13	N	pvmdr1_4	1	0	FALSE
ASV412	816	6	N	SYN13	5	5	FALSE
ASV413	810	24	N	PVP01_1464400	1	0	FALSE
ASV414	810	17	N	PVP01_1339900	1	0	FALSE
ASV415	806	1	N	MB2	2	0	FALSE
ASV416	801	10	N	PVP01_1004100	2	0	FALSE
ASV417	800	17	PvP01	PVP01_1101300	0	0	FALSE
ASV418	799	17	PvP01	MSP1P	0	0	FALSE
