Sample_id,order_in_plate,typeofSamp,Run,Country,Strata,sample_ampl_rate,Total_ReadDepth,Mean_ReadDepth,SD_ReadDepth,Median_ReadDepth,IQR_ReadDepth,q25_ReadDepth,q75_ReadDepth,SamplePlate_ID,SamplePlate_Well_Position,Parasite_qPCR,Cq,Parasite_Concentration
G4G2038,158,Samples,Run2,Guyana,Guyana,0.697916666666667,38320,285.970149253731,1854.0625336815,41.5,110,15,125,NA,NA,NA,NA,NA
G4G2056,76,Samples,Run2,Guyana,Guyana,0.671875,6525,50.5813953488372,75.3893744248007,26,38,14,52,NA,NA,NA,NA,NA
G4G2058,75,Samples,Run2,Guyana,Guyana,0.505208333333333,4131,42.5876288659794,90.2318486568212,15,29,8,37,NA,NA,NA,NA,NA
G4G2063,73,Samples,Run2,Guyana,Guyana,0.744791666666667,12499,87.4055944055944,149.221417758236,36,71,15.5,86.5,NA,NA,NA,NA,NA
G4G2095,2,Samples,Run2,Guyana,Guyana,0.671875,7925,61.4341085271318,108.995258279979,26,34,15,49,Gates 056,A02,P. vivax,18.9317293718493,518.318550229222
G4G2103,172,Samples,Run2,Guyana,Guyana,0.619791666666667,11961,100.512605042017,525.021982841562,24,31,10,41,NA,NA,NA,NA,NA
G4G2109,209,Samples,Run2,Guyana,Guyana,0.609375,7085,60.5555555555556,114.250439103091,30,42,15,57,NA,NA,NA,NA,NA
G4G2110,122,Samples,Run2,Guyana,Guyana,0.927083333333333,30952,173.887640449438,529.483031918225,74,128.5,24.25,152.75,NA,NA,NA,NA,NA
G4G2111,214,Samples,Run2,Guyana,Guyana,0.71875,14407,104.398550724638,177.814203855527,48,81,21,102,NA,NA,NA,NA,NA
G4G2115,216,Samples,Run2,Guyana,Guyana,0.994791666666667,245167,1283.59685863874,3360.52213828221,587,1112.5,195,1307.5,NA,NA,NA,NA,NA
G4G2123,207,Samples,Run2,Guyana,Guyana,0.5625,3480,32.2222222222222,83.0631257902303,16,18,11,29,NA,NA,NA,NA,NA
G4G2128,174,Samples,Run2,Guyana,Guyana,0.619791666666667,6512,54.7226890756302,137.722450219282,23,32.5,11.5,44,NA,NA,NA,NA,NA
G4G2129,212,Samples,Run2,Guyana,Guyana,0.979166666666667,45242,240.648936170213,506.283347510835,118.5,220.75,36.75,257.5,NA,NA,NA,NA,NA
G4G2132,275,Samples,Run2,Guyana,Guyana,0.609375,5874,50.2051282051282,116.706789867004,21,32,12,44,NA,NA,NA,NA,NA
G4G2135,210,Samples,Run2,Guyana,Guyana,0.802083333333333,14221,92.3441558441558,193.863956742331,37.5,67.25,15,82.25,NA,NA,NA,NA,NA
G4G2139,208,Samples,Run2,Guyana,Guyana,0.963541666666667,61038,329.935135135135,1519.87141407913,94,196,39,235,NA,NA,NA,NA,NA
G4G2149,4,Samples,Run2,Guyana,Guyana,0.739583333333333,10738,75.6197183098592,147.387256221065,44,60.5,19.25,79.75,Gates 056,A04,P. vivax,19.09834822186,459.656216731258
G4G2157,1,Samples,Run2,Guyana,Guyana,0.776041666666667,11248,75.489932885906,152.259008407423,31,64,14,78,Gates 056,A01,P. vivax,19.7809526973613,281.014758083138
G4G2170,3,Samples,Run2,Guyana,Guyana,0.947916666666667,48490,266.428571428571,1053.86642661488,84.5,196,32,228,Gates 056,A03,P. vivax,20.8357233680288,131.374322113807
G4G2171,120,Samples,Run2,Guyana,Guyana,0.984375,53183,281.391534391534,698.711995222909,142,234,44,278,NA,NA,NA,NA,NA
G4G2177,121,Samples,Run2,Guyana,Guyana,0.65625,6394,50.7460317460317,116.75889252698,20.5,31.75,11,42.75,NA,NA,NA,NA,NA
G4G2206,219,Samples,Run2,Guyana,Guyana,0.947916666666667,30912,169.846153846154,500.789849575812,65,119.5,26.5,146,NA,NA,NA,NA,NA
G4G2257,178,Samples,Run2,Guyana,Guyana,0.744791666666667,11699,81.8111888111888,137.010945951587,32,55,17,72,NA,NA,NA,NA,NA
G4G2269,218,Samples,Run2,Guyana,Guyana,0.651041666666667,6501,52.008,95.8523306462737,23,30,13,43,NA,NA,NA,NA,NA
G4G2273,221,Samples,Run2,Guyana,Guyana,0.671875,12754,98.8682170542636,246.542953276052,45,51,21,72,NA,NA,NA,NA,NA
G4G2304,222,Samples,Run2,Guyana,Guyana,0.651041666666667,5143,41.144,56.8126099133043,23,32,12,44,NA,NA,NA,NA,NA
G4G2308,213,Samples,Run2,Guyana,Guyana,0.53125,7126,69.8627450980392,126.620665200259,32.5,38.75,16.25,55,NA,NA,NA,NA,NA
