loci,loci_ampl_rate_Total,loci_ampl_rate_Honduras,loci_ampl_rate_Guyana,loci_ampl_rate_Venezuela,loci_ampl_rate_Colombia
LISP2,0.0705394190871369,0.215686274509804,0.0208333333333334,0.0652173913043478,0.0652173913043478
RON1,0.0643153526970954,0.137254901960784,0.0104166666666666,0.130434782608696,0.173913043478261
PVP01_0306200,0.45643153526971,0.284313725490196,0.416666666666667,0.782608695652174,0.760869565217391
MED8,0,0,0,0,0
pvdmt2_1,0,0,0,0,0
CRMP2,0.45850622406639,0.166666666666667,0.451388888888889,0.782608695652174,0.826086956521739
PVP01_0314600,0.628630705394191,0.431372549019608,0.631944444444444,0.847826086956522,0.826086956521739
PSOP1,0.636929460580913,0.401960784313726,0.652777777777778,0.826086956521739,0.869565217391304
PVP01_0318900,0.580912863070539,0.372549019607843,0.579861111111111,0.804347826086957,0.826086956521739
BDP6,0.12655601659751,0.186274509803922,0.0520833333333334,0.282608695652174,0.304347826086957
PVP01_0320600,0.180497925311203,0.0686274509803921,0.125,0.521739130434783,0.434782608695652
PVP01_0405000_1,0.211618257261411,0.0294117647058824,0.142361111111111,0.58695652173913,0.673913043478261
PVP01_0405000_2,0.363070539419087,0.0784313725490197,0.326388888888889,0.739130434782609,0.847826086956522
CDPK1,0.321576763485477,0.284313725490196,0.253472222222222,0.695652173913043,0.456521739130435
ATG11,0.54149377593361,0.254901960784314,0.541666666666667,0.891304347826087,0.826086956521739
MATE,0.112033195020747,0.235294117647059,0.0381944444444444,0.282608695652174,0.130434782608696
PVP01_0412700,0.526970954356846,0.362745098039216,0.486111111111111,0.804347826086957,0.869565217391304
MSP5,0.491701244813278,0.343137254901961,0.461805555555556,0.826086956521739,0.673913043478261
HT1,0.321576763485477,0.254901960784314,0.270833333333333,0.695652173913043,0.41304347826087
PVP01_0420500,0.120331950207469,0.156862745098039,0.0590277777777778,0.347826086956522,0.195652173913043
ETRAMP11.2,0.686721991701245,0.509803921568627,0.680555555555556,0.869565217391304,0.934782608695652
TRAG38,0.819502074688797,0.450980392156863,0.90625,0.978260869565217,0.934782608695652
PVP01_0504000,0.661825726141079,0.362745098039216,0.694444444444444,0.891304347826087,0.891304347826087
LSM8,0.33402489626556,0.245098039215686,0.284722222222222,0.717391304347826,0.456521739130435
FT1,0.253112033195021,0.127450980392157,0.211805555555556,0.543478260869565,0.5
LipB,0.730290456431535,0.519607843137255,0.760416666666667,0.847826086956522,0.891304347826087
PVP01_0513400,0.62655601659751,0.441176470588235,0.628472222222222,0.804347826086957,0.847826086956522
RON5,0.0560165975103735,0.186274509803922,0.0104166666666666,0.0434782608695652,0.0652173913043478
HSP20,0.813278008298755,0.529411764705882,0.871527777777778,0.956521739130435,0.934782608695652
PVP01_0518900,0.670124481327801,0.5,0.673611111111111,0.869565217391304,0.826086956521739
pvdhfr,0.408713692946058,0.362745098039216,0.340277777777778,0.695652173913043,0.652173913043478
PVP01_0527700,0.639004149377593,0.362745098039216,0.670138888888889,0.804347826086957,0.891304347826087
RRF2,0,0,0,0,0
PVP01_0530700,0.481327800829875,0.294117647058823,0.454861111111111,0.782608695652174,0.760869565217391
ETRAMP,0.0601659751037344,0,0.0347222222222222,0.304347826086957,0.108695652173913
PVP01_0602200,0.448132780082988,0.186274509803922,0.440972222222222,0.739130434782609,0.782608695652174
PVP01_0602400,0.506224066390041,0.294117647058823,0.493055555555556,0.760869565217391,0.804347826086957
PVP01_0615400,0.605809128630705,0.5,0.576388888888889,0.760869565217391,0.869565217391304
AdoMetDC_ODC,0.215767634854772,0.0196078431372549,0.173611111111111,0.521739130434783,0.608695652173913
TLAP2,0.184647302904564,0.196078431372549,0.0972222222222222,0.478260869565217,0.41304347826087
PyKII,0.605809128630705,0.46078431372549,0.579861111111111,0.826086956521739,0.869565217391304
DBP_1,0.597510373443983,0.117647058823529,0.670138888888889,0.891304347826087,0.91304347826087
