Sample_id,order_in_plate,typeofSamp,Run,Country,Strata,sample_ampl_rate
G4G0561,17,Samples,Run2,Guyana,Guyana,0.494791666666667
G4G0567,18,Samples,Run2,Guyana,Guyana,0.838541666666667
G4G0569,96,Samples,Run2,Guyana,Guyana,0.421875
G4G0764,245,Samples,Run2,Guyana,Guyana,0.479166666666667
G4G0765,269,Samples,Run2,Guyana,Guyana,0.0260416666666666
G4G0771,244,Samples,Run2,Guyana,Guyana,0.015625
G4G0784,270,Samples,Run2,Guyana,Guyana,0.630208333333333
G4G0916,274,Samples,Run2,Guyana,Guyana,0.00520833333333337
G4G0929,271,Samples,Run2,Guyana,Guyana,0.0572916666666666
G4G0933,133,Samples,Run2,Guyana,Guyana,0.234375
G4G0943,252,Samples,Run2,Guyana,Guyana,0.567708333333333
G4G0952,150,Samples,Run2,Guyana,Guyana,0.630208333333333
G4G0954,253,Samples,Run2,Guyana,Guyana,0.9375
G4G0956,254,Samples,Run2,Guyana,Guyana,0.432291666666667
G4G0958,272,Samples,Run2,Guyana,Guyana,0.234375
G4G0999,151,Samples,Run2,Guyana,Guyana,0.0989583333333334
G4G1009,33,Samples,Run2,Guyana,Guyana,0.0833333333333334
G4G1016,243,Samples,Run2,Guyana,Guyana,0.390625
G4G1039,34,Samples,Run2,Guyana,Guyana,0.0260416666666666
G4G1042,242,Samples,Run2,Guyana,Guyana,0.463541666666667
G4G1051,235,Samples,Run2,Guyana,Guyana,0.171875
G4G1052,233,Samples,Run2,Guyana,Guyana,0.453125
G4G1056,40,Samples,Run2,Guyana,Guyana,0.567708333333333
G4G1057,198,Samples,Run2,Guyana,Guyana,0.557291666666667
G4G1060,236,Samples,Run2,Guyana,Guyana,0.0208333333333334
G4G1062,152,Samples,Run2,Guyana,Guyana,0.541666666666667
G4G1123,154,Samples,Run2,Guyana,Guyana,0.677083333333333
G4G1130,21,Samples,Run2,Guyana,Guyana,0.833333333333333
G4G1131,153,Samples,Run2,Guyana,Guyana,0.15625
G4G1137,95,Samples,Run2,Guyana,Guyana,0.046875
G4G1151,99,Samples,Run2,Guyana,Guyana,0.546875
G4G1158,135,Samples,Run2,Guyana,Guyana,0.916666666666667
G4G1162,136,Samples,Run2,Guyana,Guyana,0.890625
G4G1176,140,Samples,Run2,Guyana,Guyana,0.4375
G4G1191,101,Samples,Run2,Guyana,Guyana,0.65625
G4G1192,137,Samples,Run2,Guyana,Guyana,0.760416666666667
G4G1195,139,Samples,Run2,Guyana,Guyana,0.302083333333333
G4G1204,179,Samples,Run2,Guyana,Guyana,0.625
G4G1208,102,Samples,Run2,Guyana,Guyana,0.114583333333333
G4G1213,100,Samples,Run2,Guyana,Guyana,0.697916666666667
G4G1220,156,Samples,Run2,Guyana,Guyana,0.802083333333333
G4G1269,141,Samples,Run2,Guyana,Guyana,0.182291666666667
G4G1314,241,Samples,Run2,Guyana,Guyana,0.744791666666667
G4G1320,240,Samples,Run2,Guyana,Guyana,0.963541666666667
G4G1325,36,Samples,Run2,Guyana,Guyana,0.411458333333333
G4G1327,35,Samples,Run2,Guyana,Guyana,0.104166666666667
G4G1331,238,Samples,Run2,Guyana,Guyana,0.640625
G4G1338,37,Samples,Run2,Guyana,Guyana,0.765625
G4G1343,258,Samples,Run2,Guyana,Guyana,0.125
G4G1346,259,Samples,Run2,Guyana,Guyana,0.411458333333333
G4G1354,257,Samples,Run2,Guyana,Guyana,0.208333333333333
G4G1357,39,Samples,Run2,Guyana,Guyana,0.385416666666667
G4G1362,118,Samples,Run2,Guyana,Guyana,0.875
G4G1363,119,Samples,Run2,Guyana,Guyana,0.890625
G4G1364,239,Samples,Run2,Guyana,Guyana,0.713541666666667
G4G1369,237,Samples,Run2,Guyana,Guyana,0.588541666666667
G4G1370,217,Samples,Run2,Guyana,Guyana,0.583333333333333
G4G1394,43,Samples,Run2,Guyana,Guyana,0.723958333333333
G4G1398,44,Samples,Run2,Guyana,Guyana,0.00520833333333337
G4G1399,61,Samples,Run2,Guyana,Guyana,0.713541666666667
G4G1901,74,Samples,Run2,Guyana,Guyana,0.416666666666667
G4G1905,71,Samples,Run2,Guyana,Guyana,0.291666666666667
G4G1908,72,Samples,Run2,Guyana,Guyana,0.848958333333333
G4G1912,65,Samples,Run2,Guyana,Guyana,0.463541666666667
G4G1917,45,Samples,Run2,Guyana,Guyana,0.078125
G4G1918,46,Samples,Run2,Guyana,Guyana,0.078125
G4G1921,91,Samples,Run2,Guyana,Guyana,0.786458333333333
G4G1922,90,Samples,Run2,Guyana,Guyana,0.848958333333333
G4G1928,66,Samples,Run2,Guyana,Guyana,0.9375
G4G1930,68,Samples,Run2,Guyana,Guyana,0.109375
G4G1933,11,Samples,Run2,Guyana,Guyana,0.046875
G4G1938,8,Samples,Run2,Guyana,Guyana,0.583333333333333
G4G1943,56,Samples,Run2,Guyana,Guyana,0.703125
G4G1944,63,Samples,Run2,Guyana,Guyana,0.625
G4G1946,7,Samples,Run2,Guyana,Guyana,0.463541666666667
G4G1948,6,Samples,Run2,Guyana,Guyana,0.1875
G4G1952,52,Samples,Run2,Guyana,Guyana,0.015625
G4G1954,10,Samples,Run2,Guyana,Guyana,0.338541666666667
G4G1956,9,Samples,Run2,Guyana,Guyana,0.828125
G4G1962,28,Samples,Run2,Guyana,Guyana,0.015625
G4G1963,27,Samples,Run2,Guyana,Guyana,0.614583333333333
G4G1964,25,Samples,Run2,Guyana,Guyana,0.234375
G4G1965,26,Samples,Run2,Guyana,Guyana,0.671875
G4G1969,24,Samples,Run2,Guyana,Guyana,0.692708333333333
G4G1981,256,Samples,Run2,Guyana,Guyana,0.265625
G4G1983,255,Samples,Run2,Guyana,Guyana,0.458333333333333
G4G1984,266,Samples,Run2,Guyana,Guyana,0.869791666666667
G4G1985,267,Samples,Run2,Guyana,Guyana,0.489583333333333
G4G1986,268,Samples,Run2,Guyana,Guyana,0.953125
G4G1991,194,Samples,Run2,Guyana,Guyana,0.536458333333333
G4G1992,195,Samples,Run2,Guyana,Guyana,0.96875
G4G1995,197,Samples,Run2,Guyana,Guyana,0.729166666666667
G4G1996,196,Samples,Run2,Guyana,Guyana,0.927083333333333
G4G2000,38,Samples,Run2,Guyana,Guyana,0.901041666666667
G4G2001,32,Samples,Run2,Guyana,Guyana,0
G4G2002,31,Samples,Run2,Guyana,Guyana,0.463541666666667
G4G2005,30,Samples,Run2,Guyana,Guyana,0.510416666666667
G4G2006,29,Samples,Run2,Guyana,Guyana,0.130208333333333
G4G2011,164,Samples,Run2,Guyana,Guyana,0.890625
G4G2017,163,Samples,Run2,Guyana,Guyana,0.682291666666667
G4G2023,165,Samples,Run2,Guyana,Guyana,0.713541666666667
G4G2025,161,Samples,Run2,Guyana,Guyana,0.197916666666667
G4G2026,160,Samples,Run2,Guyana,Guyana,0.932291666666667
G4G2032,159,Samples,Run2,Guyana,Guyana,0.75
G4G2033,103,Samples,Run2,Guyana,Guyana,0.0208333333333334
G4G2034,104,Samples,Run2,Guyana,Guyana,0.213541666666667
G4G2038,158,Samples,Run2,Guyana,Guyana,0.697916666666667
G4G2039,157,Samples,Run2,Guyana,Guyana,0.369791666666667
G4G2040,162,Samples,Run2,Guyana,Guyana,0.322916666666667
G4G2043,67,Samples,Run2,Guyana,Guyana,0.15625
G4G2045,69,Samples,Run2,Guyana,Guyana,0.00520833333333337
G4G2048,70,Samples,Run2,Guyana,Guyana,0.3125
G4G2056,76,Samples,Run2,Guyana,Guyana,0.671875
G4G2058,75,Samples,Run2,Guyana,Guyana,0.505208333333333
G4G2063,73,Samples,Run2,Guyana,Guyana,0.744791666666667
