Sample_id,order_in_plate,typeofSamp,Run,Country,Strata,sample_ampl_rate
HRP0377,337,Samples,Run2,Venezuela,Venezuela,0.973958333333333
HRP0378,338,Samples,Run2,Venezuela,Venezuela,0.911458333333333
HRP0379,339,Samples,Run2,Venezuela,Venezuela,0.947916666666667
HRP0381,341,Samples,Run2,Venezuela,Venezuela,0.609375
HRP0383,343,Samples,Run2,Venezuela,Venezuela,0.911458333333333
HRP0384,344,Samples,Run2,Venezuela,Venezuela,0.994791666666667
HRP0385,345,Samples,Run2,Venezuela,Venezuela,0.625
HRP0386,346,Samples,Run2,Venezuela,Venezuela,0.90625
HRP0388,348,Samples,Run2,Venezuela,Venezuela,0.90625
HRP0390,351,Samples,Run2,Venezuela,Venezuela,0.984375
HRP0391,352,Samples,Run2,Venezuela,Venezuela,0.916666666666667
HRP0393,353,Samples,Run2,Venezuela,Venezuela,0.755208333333333
HRP0394,354,Samples,Run2,Venezuela,Venezuela,0.958333333333333
SP0101254375,320,Samples,Run2,Colombia,Colombia,0.770833333333333
SP0101254394,321,Samples,Run2,Colombia,Colombia,0.90625
SP0101254422,322,Samples,Run2,Colombia,Colombia,0.994791666666667
SP0112286510,299,Samples,Run2,Colombia,Colombia,0.911458333333333
SP0112286511,296,Samples,Run2,Colombia,Colombia,0.682291666666667
SP0112286514,297,Samples,Run2,Colombia,Colombia,0.739583333333333
SP0112286517,298,Samples,Run2,Colombia,Colombia,0.9375
SP0112286518,314,Samples,Run2,Colombia,Colombia,0.822916666666667
SP0112286543,290,Samples,Run2,Colombia,Colombia,0.953125
SP0112286544,304,Samples,Run2,Colombia,Colombia,0.979166666666667
SP0112286546,315,Samples,Run2,Colombia,Colombia,0.984375
SP0112286564,294,Samples,Run2,Colombia,Colombia,0.776041666666667
SP0112286567,313,Samples,Run2,Colombia,Colombia,0.973958333333333
SP0112286569,305,Samples,Run2,Colombia,Colombia,0.755208333333333
SP0112286570,291,Samples,Run2,Colombia,Colombia,0.973958333333333
SP0112286571,292,Samples,Run2,Colombia,Colombia,0.588541666666667
SP0112286594,316,Samples,Run2,Colombia,Colombia,0.984375
SP0112286615,317,Samples,Run2,Colombia,Colombia,0.807291666666667
SP0112286616,303,Samples,Run2,Colombia,Colombia,0.90625
SP0112286641,323,Samples,Run2,Colombia,Colombia,0.979166666666667
SP0112286647,328,Samples,Run2,Colombia,Colombia,0.947916666666667
SP0112286649,327,Samples,Run2,Colombia,Colombia,0.979166666666667
SP0112286650,326,Samples,Run2,Colombia,Colombia,0.984375
SP0112286652,335,Samples,Run2,Colombia,Colombia,0.994791666666667
