Yi,Yj,khat,rhat
CON21-71-R1,SP0112286288-R2,899.803111506373,0.612990231502539
CON21-71-R1,SP0112286309-R1,62285.4104591347,0.505100640941798
CON21-71-R1,SP0112286309-R2,660.21756373539,0.496707958773639
CON21-71-R1,SP0112286325-R1,1767.05819397867,0.525250603567493
CON21-71-R1,SP0112286325-R2,65138.5709094783,0.516612195036085
CON21-71-R1,SP0112286370-R1,856.006987848023,0.490558502054396
CON21-71-R1,SP0112286370-R2,1757.91615675256,0.501294984466713
CON21-71-R1,SP0112286435-R1,55.5077628386016,0.520493036436164
CON21-71-R1,SP0112286435-R2,2813.07751918075,0.581995364785787
CON21-71-R1,SP0112286439-R1,52894.3929578902,0.494790012819229
CON21-71-R1,SP0112286439-R2,37519.9593976407,0.500398026168885
CON21-71-R1,SP0112286453-R1,57889.3729440907,0.493091192845034
CON21-71-R1,SP0112286453-R2,58015.0973701569,0.472041132965218
CON21-71-R1,SP0112286484-R1,1305.92238718636,0.583376460520697
CON21-71-R1,SP0112286484-R2,876.162656552651,0.568270163510107
CON21-71-R1,SP0112286487-R1,248.020520783987,0.496627315543009
CON21-71-R1,SP0112286487-R2,2494.74997944777,0.509393023607823
CON21-71-R2,CON21-75-R1,210.596589415881,0.745173714534881
CON21-71-R2,CON21-76-R1,49.1054381758062,0.999999698957936
CON21-71-R2,CON22-138-R1,49.1063000834526,0.999999775189899
CON21-71-R2,CON22-237-R1,49.1064324137221,0.999999997936196
CON21-71-R2,CON22-285-R1,49.1064324137221,0.999999997936196
CON21-71-R2,CON22-320-R1,49.1064324137221,0.999999997936196
CON21-71-R2,CON22-326-R1,49.1064324137221,0.999999997936196
CON21-71-R2,CON22-327-R1,49.1064324137221,0.999999997936196
CON21-71-R2,HRP0046-R1,17082.0866550313,0.584652614933988
CON21-71-R2,HRP0144-R1,3442.90547352079,0.613732023842772
CON21-71-R2,HRP0148-R1,75767.2582864514,0.533934837159477
CON21-71-R2,HRP0174-R1,2786.77378530205,0.536106186497173
CON21-71-R2,HRP0187-R1,1579.84173886739,0.641637952431395
CON21-71-R2,SP0101254202-R1,80560.3966331179,0.523528756919972
CON21-71-R2,SP0101254202-R2,54764.0599569802,0.582783227207894
CON21-71-R2,SP0101254215-R1,88522.6107653673,0.516053872114191
CON21-71-R2,SP0101254215-R2,13021.1869359939,0.528078934137924
CON21-71-R2,SP0101254260-R1,2265.01275382024,0.57614960730539
CON21-71-R2,SP0101254260-R2,3354.08455238076,0.535436274832588
CON21-71-R2,SP0101254266-R1,127.843246459961,0.511749267578125
CON21-71-R2,SP0101254266-R2,2095.30904326906,0.511095097461615
CON21-71-R2,SP0101254283-R1,9335.41682976962,0.551543689036037
CON21-71-R2,SP0101254283-R2,2524.01406973537,0.517373043958451
CON21-71-R2,SP0101254289-R1,74919.6220176511,0.550891733040133
CON21-71-R2,SP0101254289-R2,2236.62569295034,0.520279639586618
CON21-71-R2,SP0101254313-R1,48477.2708614757,0.478735741527735
CON21-71-R2,SP0101254313-R2,2596.2495889095,0.495955079844824
CON21-71-R2,SP0101254334-R2,2966.37665329041,0.53406274179515
