Sample_id,Parasite_Concentration,Parasite,Threshold,AmpRate,log_parasitemia,log_OR_AmplRate
201-GZ,667.462336508764,P. vivax,5,0.397590361445783,9.38254262063475,-0.575312330687437
201-GZ,667.462336508764,P. vivax,10,0.301204819277108,9.38254262063475,-1.18670071419314
201-GZ,667.462336508764,P. vivax,20,0.180722891566265,9.38254262063475,-2.14177396112816
201-GZ,667.462336508764,P. vivax,50,0.0763052208835341,9.38254262063475,-3.51727569320958
201-GZ,667.462336508764,P. vivax,100,0.0240963855421687,9.38254262063475,-5.11150831521699
213-GZ,161.673313993921,P. vivax,1,0.29718875502008,7.3369377551301,-1.21412480535285
213-GZ,161.673313993921,P. vivax,5,0.261044176706827,7.3369377551301,-1.47130571892559
213-GZ,161.673313993921,P. vivax,10,0.156626506024096,7.3369377551301,-2.38543103719352
213-GZ,161.673313993921,P. vivax,20,0.0682730923694779,7.3369377551301,-3.68182403997375
213-GZ,161.673313993921,P. vivax,50,0.0321285140562249,7.3369377551301,-4.73696559416621
213-GZ,161.673313993921,P. vivax,100,0.0160642570281124,7.3369377551301,-5.60880924267552
029-GZ,99.9885049984136,P. vivax,1,0.104417670682731,6.64369034242463,-3.03952836418664
029-GZ,99.9885049984136,P. vivax,5,0.0763052208835341,6.64369034242463,-3.51727569320958
029-GZ,99.9885049984136,P. vivax,10,0.0321285140562249,6.64369034242463,-4.73696559416621
029-GZ,99.9885049984136,P. vivax,20,0.0120481927710843,6.64369034242463,-5.93663793900257
029-GZ,99.9885049984136,P. vivax,50,0.00803212851405622,6.64369034242463,-6.35755200461808
029-GZ,99.9885049984136,P. vivax,100,0.00401606425702811,6.64369034242463,-6.94836723158468
032-GZ,53.2399695580993,P. vivax,1,0.55421686746988,5.73443784122372,0.337581359198848
032-GZ,53.2399695580993,P. vivax,5,0.530120481927711,5.73443784122372,0.197301440373618
032-GZ,53.2399695580993,P. vivax,10,0.433734939759036,5.73443784122372,-0.36109869216804
032-GZ,53.2399695580993,P. vivax,20,0.289156626506024,5.73443784122372,-1.26960705975728
032-GZ,53.2399695580993,P. vivax,50,0.144578313253012,5.73443784122372,-2.51846708893425
032-GZ,53.2399695580993,P. vivax,100,0.0923694779116466,5.73443784122372,-3.22881869049588
069-GZ,1328.25649909993,P. vivax,1,0.453815261044177,10.375318056533,-0.24392558288609
069-GZ,1328.25649909993,P. vivax,5,0.433734939759036,10.375318056533,-0.36109869216804
069-GZ,1328.25649909993,P. vivax,10,0.337349397590361,10.375318056533,-0.948161068480382
069-GZ,1328.25649909993,P. vivax,20,0.21285140562249,10.375318056533,-1.85244281158614
069-GZ,1328.25649909993,P. vivax,50,0.0963855421686747,10.375318056533,-3.16349873228288
069-GZ,1328.25649909993,P. vivax,100,0.0481927710843374,10.375318056533,-4.18220333122075
070-GZ,144.731528447753,P. vivax,1,0.248995983935743,7.1772354238801,-1.56187888760812
070-GZ,144.731528447753,P. vivax,5,0.196787148594378,7.1772354238801,-1.99276843076892
070-GZ,144.731528447753,P. vivax,10,0.132530120481928,7.1772354238801,-2.66073000833912
070-GZ,144.731528447753,P. vivax,20,0.0602409638554217,7.1772354238801,-3.86418614465428
070-GZ,144.731528447753,P. vivax,50,0.0200803212851406,7.1772354238801,-5.33985000288462
070-GZ,144.731528447753,P. vivax,100,0.0120481927710843,7.1772354238801,-5.93663793900257
071-GZ,74.1002530838153,P. vivax,1,0.0240963855421687,6.21140656484279,-5.11150831521699
071-GZ,74.1002530838153,P. vivax,5,0.00803212851405622,6.21140656484279,-6.35755200461808
071-GZ,74.1002530838153,P. vivax,10,0.00401606425702811,6.21140656484279,-6.94836723158468
071-GZ,74.1002530838153,P. vivax,20,0.00401606425702811,6.21140656484279,-6.94836723158468
071-GZ,74.1002530838153,P. vivax,50,0.00401606425702811,6.21140656484279,-6.94836723158468
071-GZ,74.1002530838153,P. vivax,100,0,6.21140656484279,-7.95419631038687
076-GZ,1473.64747130672,P. vivax,1,0.253012048192771,10.5251757261739,-1.53138146051631
076-GZ,1473.64747130672,P. vivax,5,0.228915662650602,10.5251757261739,-1.71944783290818
076-GZ,1473.64747130672,P. vivax,10,0.120481927710843,10.5251757261739,-2.81398801439005
076-GZ,1473.64747130672,P. vivax,20,0.0642570281124498,10.5251757261739,-3.77051815387723
076-GZ,1473.64747130672,P. vivax,50,0.0240963855421687,10.5251757261739,-5.11150831521699
076-GZ,1473.64747130672,P. vivax,100,0.0120481927710843,10.5251757261739,-5.93663793900257
094-GZ,35.2682625624098,P. vivax,1,0.0562248995983936,5.14029860021388,-3.96347412397489
094-GZ,35.2682625624098,P. vivax,5,0.0401606425702811,5.14029860021388,-4.43538614467065
094-GZ,35.2682625624098,P. vivax,10,0.0160642570281124,5.14029860021388,-5.60880924267552
094-GZ,35.2682625624098,P. vivax,20,0.0160642570281124,5.14029860021388,-5.60880924267552
094-GZ,35.2682625624098,P. vivax,50,0.0120481927710843,5.14029860021388,-5.93663793900257
094-GZ,35.2682625624098,P. vivax,100,0.00803212851405622,5.14029860021388,-6.35755200461808
096-GZ,9.22384181207821,P. vivax,1,0.0562248995983936,3.20536777113287,-3.96347412397489
096-GZ,9.22384181207821,P. vivax,5,0.0562248995983936,3.20536777113287,-3.96347412397489
096-GZ,9.22384181207821,P. vivax,10,0.0321285140562249,3.20536777113287,-4.73696559416621
096-GZ,9.22384181207821,P. vivax,20,0.0200803212851406,3.20536777113287,-5.33985000288462
096-GZ,9.22384181207821,P. vivax,50,0.00803212851405622,3.20536777113287,-6.35755200461808
096-GZ,9.22384181207821,P. vivax,100,0,3.20536777113287,-7.95419631038687
097-GZ,29.3991593627895,P. vivax,1,0.0240963855421687,4.87770299823221,-5.11150831521699
097-GZ,29.3991593627895,P. vivax,5,0.0160642570281124,4.87770299823221,-5.60880924267552
097-GZ,29.3991593627895,P. vivax,10,0.0120481927710843,4.87770299823221,-5.93663793900257
097-GZ,29.3991593627895,P. vivax,20,0.00803212851405622,4.87770299823221,-6.35755200461808
097-GZ,29.3991593627895,P. vivax,50,0,4.87770299823221,-7.95419631038687
097-GZ,29.3991593627895,P. vivax,100,0,4.87770299823221,-7.95419631038687
H-0118,1454.56501865966,P. vivax,1,0.839357429718876,10.5063720706165,2.42884329880388
H-0118,1454.56501865966,P. vivax,5,0.839357429718876,10.5063720706165,2.42884329880388
H-0118,1454.56501865966,P. vivax,10,0.795180722891566,10.5063720706165,1.99276843076892
H-0118,1454.56501865966,P. vivax,20,0.72289156626506,10.5063720706165,1.41238304583287
H-0118,1454.56501865966,P. vivax,50,0.566265060240964,10.5063720706165,0.408280133103536
H-0118,1454.56501865966,P. vivax,100,0.437751004016064,10.5063720706165,-0.337581359198848
H-0122,120.927853382786,P. vivax,1,0.734939759036145,6.91800276942435,1.50119414302856
H-0122,120.927853382786,P. vivax,5,0.72289156626506,6.91800276942435,1.41238304583287
H-0122,120.927853382786,P. vivax,10,0.642570281124498,6.91800276942435,0.87148525947732
H-0122,120.927853382786,P. vivax,20,0.51004016064257,6.91800276942435,0.0811367627254058
H-0122,120.927853382786,P. vivax,50,0.34136546184739,6.91800276942435,-0.92246339952898
H-0122,120.927853382786,P. vivax,100,0.164658634538153,6.91800276942435,-2.30116953472056
H-0142-A,487.111856550045,P. vivax,1,0.00401606425702811,8.92810928931066,-6.94836723158468
H-0142-A,487.111856550045,P. vivax,5,0.00401606425702811,8.92810928931066,-6.94836723158468
H-0142-A,487.111856550045,P. vivax,10,0.00401606425702811,8.92810928931066,-6.94836723158468
H-0142-A,487.111856550045,P. vivax,20,0.00401606425702811,8.92810928931066,-6.94836723158468
H-0142-A,487.111856550045,P. vivax,50,0.00401606425702811,8.92810928931066,-6.94836723158468
H-0142-A,487.111856550045,P. vivax,100,0.00401606425702811,8.92810928931066,-6.94836723158468
H-0143,132.544571668779,P. vivax,1,0.771084337349398,7.05033377595954,1.78510211521048
H-0143,132.544571668779,P. vivax,5,0.742971887550201,7.05033377595954,1.56187888760812
H-0143,132.544571668779,P. vivax,10,0.65863453815261,7.05033377595954,0.974004791467056
H-0143,132.544571668779,P. vivax,20,0.530120481927711,7.05033377595954,0.197301440373618
H-0143,132.544571668779,P. vivax,50,0.337349397590361,7.05033377595954,-0.948161068480382
H-0143,132.544571668779,P. vivax,100,0.168674698795181,7.05033377595954,-2.26023577248112
H-0159,274.706203821124,P. vivax,1,0.895582329317269,8.10174568162608,3.16349873228288
H-0159,274.706203821124,P. vivax,5,0.895582329317269,8.10174568162608,3.16349873228288
H-0159,274.706203821124,P. vivax,10,0.867469879518072,8.10174568162608,2.76155123244448
H-0159,274.706203821124,P. vivax,20,0.823293172690763,8.10174568162608,2.26023577248112
H-0159,274.706203821124,P. vivax,50,0.666666666666667,8.10174568162608,1.02615228785597
H-0159,274.706203821124,P. vivax,100,0.526104417670683,8.10174568162608,0.174029399775049
H-0163,383.366060240458,P. vivax,1,0.895582329317269,8.58257880927906,3.16349873228288
H-0163,383.366060240458,P. vivax,5,0.895582329317269,8.58257880927906,3.16349873228288
H-0163,383.366060240458,P. vivax,10,0.895582329317269,8.58257880927906,3.16349873228288
H-0163,383.366060240458,P. vivax,20,0.859437751004016,8.58257880927906,2.66073000833912
H-0163,383.366060240458,P. vivax,50,0.759036144578313,8.58257880927906,1.68721255896911
H-0163,383.366060240458,P. vivax,100,0.622489959839357,8.58257880927906,0.746243407754217
H-0168,50.0742081272278,P. vivax,1,0.891566265060241,5.64599579634812,3.10046018177921
H-0168,50.0742081272278,P. vivax,5,0.887550200803213,5.64599579634812,3.03952836418664
H-0168,50.0742081272278,P. vivax,10,0.855421686746988,5.64599579634812,2.61218396945618
H-0168,50.0742081272278,P. vivax,20,0.775100401606426,5.64599579634812,1.81855312866247
H-0168,50.0742081272278,P. vivax,50,0.582329317269076,5.64599579634812,0.503324031696799
H-0168,50.0742081272278,P. vivax,100,0.461847389558233,5.64599579634812,-0.197301440373617
H-0169,155.753176789542,P. vivax,1,0.795180722891566,7.28311777897442,1.99276843076892
H-0169,155.753176789542,P. vivax,5,0.783132530120482,7.28311777897442,1.88678938955201
H-0169,155.753176789542,P. vivax,10,0.718875502008032,7.28311777897442,1.38332863955151
H-0169,155.753176789542,P. vivax,20,0.630522088353414,7.28311777897442,0.795986107978407
H-0169,155.753176789542,P. vivax,50,0.449799196787149,7.28311777897442,-0.267283878835152
H-0169,155.753176789542,P. vivax,100,0.232931726907631,7.28311777897442,-1.68721255896911
H-0170,706.160606849385,P. vivax,1,0.413654618473896,9.46385253241259,-0.479469371873843
H-0170,706.160606849385,P. vivax,5,0.397590361445783,9.46385253241259,-0.575312330687437
H-0170,706.160606849385,P. vivax,10,0.301204819277108,9.46385253241259,-1.18670071419314
H-0170,706.160606849385,P. vivax,20,0.176706827309237,9.46385253241259,-2.18057224564182
H-0170,706.160606849385,P. vivax,50,0.0562248995983936,9.46385253241259,-3.96347412397489
H-0170,706.160606849385,P. vivax,100,0.0160642570281124,9.46385253241259,-5.60880924267552
H-0171,30.764588751482,P. vivax,1,0.546184738955823,4.94319880219427,0.290677160902923
H-0171,30.764588751482,P. vivax,5,0.518072289156627,4.94319880219427,0.127550049720511
H-0171,30.764588751482,P. vivax,10,0.413654618473896,4.94319880219427,-0.479469371873843
H-0171,30.764588751482,P. vivax,20,0.269076305220884,4.94319880219427,-1.41238304583287
H-0171,30.764588751482,P. vivax,50,0.108433734939759,4.94319880219427,-2.98054763733383
H-0171,30.764588751482,P. vivax,100,0.0481927710843374,4.94319880219427,-4.18220333122075
H-0175,816.363618711929,P. vivax,1,0.771084337349398,9.67306807979674,1.78510211521048
H-0175,816.363618711929,P. vivax,5,0.759036144578313,9.67306807979674,1.68721255896911
H-0175,816.363618711929,P. vivax,10,0.706827309236948,9.67306807979674,1.29768054864069
H-0175,816.363618711929,P. vivax,20,0.586345381526104,9.67306807979674,0.527247002864869
H-0175,816.363618711929,P. vivax,50,0.409638554216867,9.67306807979674,-0.503324031696799
H-0175,816.363618711929,P. vivax,100,0.224899598393574,9.67306807979674,-1.75207248655641
H-0023,203.473140376878,P. vivax,1,0.78714859437751,7.66869455280387,1.92161210131528
H-0023,203.473140376878,P. vivax,5,0.779116465863454,7.66869455280387,1.85244281158614
H-0023,203.473140376878,P. vivax,10,0.718875502008032,7.66869455280387,1.38332863955151
H-0023,203.473140376878,P. vivax,20,0.558232931726908,7.66869455280387,0.36109869216804
H-0023,203.473140376878,P. vivax,50,0.405622489959839,7.66869455280387,-0.527247002864869
H-0023,203.473140376878,P. vivax,100,0.240963855421687,7.66869455280387,-1.62385151411475
H-0026,79.8896220974895,P. vivax,1,0.465863453815261,6.31993619978144,-0.174029399775049
H-0026,79.8896220974895,P. vivax,5,0.449799196787149,6.31993619978144,-0.267283878835152
H-0026,79.8896220974895,P. vivax,10,0.369477911646586,6.31993619978144,-0.746243407754217
H-0026,79.8896220974895,P. vivax,20,0.240963855421687,6.31993619978144,-1.62385151411475
H-0026,79.8896220974895,P. vivax,50,0.112449799196787,6.31993619978144,-2.92337871839709
H-0026,79.8896220974895,P. vivax,100,0.0401606425702811,6.31993619978144,-4.43538614467065
H-0085,749.579159824822,P. vivax,1,0.755020080321285,9.5499370327994,1.65535182861255
H-0085,749.579159824822,P. vivax,5,0.755020080321285,9.5499370327994,1.65535182861255
H-0085,749.579159824822,P. vivax,10,0.686746987951807,9.5499370327994,1.1594782140072
H-0085,749.579159824822,P. vivax,20,0.558232931726908,9.5499370327994,0.36109869216804
H-0085,749.579159824822,P. vivax,50,0.401606425702811,9.5499370327994,-0.551241882877155
H-0085,749.579159824822,P. vivax,100,0.192771084337349,9.5499370327994,-2.02914634565952
H-0093,340.587733276921,P. vivax,1,0.738955823293173,8.41188266513398,1.53138146051631
H-0093,340.587733276921,P. vivax,5,0.734939759036145,8.41188266513398,1.50119414302856
H-0093,340.587733276921,P. vivax,10,0.670682730923695,8.41188266513398,1.05246741989414
H-0093,340.587733276921,P. vivax,20,0.582329317269076,8.41188266513398,0.503324031696799
H-0093,340.587733276921,P. vivax,50,0.385542168674699,8.41188266513398,-0.648014671256458
H-0093,340.587733276921,P. vivax,100,0.216867469879518,8.41188266513398,-1.81855312866247
PF00133,78.9077014689713,P. vivax,1,0.0481927710843374,6.3020942104475,-4.18220333122075
PF00133,78.9077014689713,P. vivax,5,0.0321285140562249,6.3020942104475,-4.73696559416621
PF00133,78.9077014689713,P. vivax,10,0.0160642570281124,6.3020942104475,-5.60880924267552
PF00133,78.9077014689713,P. vivax,20,0.00803212851405622,6.3020942104475,-6.35755200461808
PF00133,78.9077014689713,P. vivax,50,0,6.3020942104475,-7.95419631038687
PF00133,78.9077014689713,P. vivax,100,0,6.3020942104475,-7.95419631038687
PF00134,515.524770249165,P. vivax,1,0.196787148594378,9.00989793852638,-1.99276843076892
PF00134,515.524770249165,P. vivax,5,0.152610441767068,9.00989793852638,-2.42884329880387
PF00134,515.524770249165,P. vivax,10,0.0963855421686747,9.00989793852638,-3.16349873228288
PF00134,515.524770249165,P. vivax,20,0.0562248995983936,9.00989793852638,-3.96347412397489
PF00134,515.524770249165,P. vivax,50,0.0120481927710843,9.00989793852638,-5.93663793900257
PF00134,515.524770249165,P. vivax,100,0.00803212851405622,9.00989793852638,-6.35755200461808
PF00227,23.8304616201976,P. vivax,1,0.0240963855421687,4.57473499315157,-5.11150831521699
PF00227,23.8304616201976,P. vivax,5,0.0160642570281124,4.57473499315157,-5.60880924267552
PF00227,23.8304616201976,P. vivax,10,0.0120481927710843,4.57473499315157,-5.93663793900257
PF00227,23.8304616201976,P. vivax,20,0.00803212851405622,4.57473499315157,-6.35755200461808
PF00227,23.8304616201976,P. vivax,50,0,4.57473499315157,-7.95419631038687
PF00227,23.8304616201976,P. vivax,100,0,4.57473499315157,-7.95419631038687
PF00229,225.366695306646,P. vivax,1,0.0602409638554217,7.81613051954364,-3.86418614465428
