Sample_id,Date_of_Collection,Month_of_Collection,Quarter_of_Collection,Year_of_Collection,Subnational_level0,Subnational_level1,Subnational_level2,Longitude,Latitude
ID00213,7/26/22,2022-07,2022-Q3,2022,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00214,7/27/22,2022-07,2022-Q3,2022,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00215,7/27/22,2022-07,2022-Q3,2022,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00216,7/27/22,2022-07,2022-Q3,2022,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00217,7/27/22,2022-07,2022-Q3,2022,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00218,7/29/22,2022-07,2022-Q3,2022,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00219,8/5/22,2022-08,2022-Q3,2022,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00220,8/5/22,2022-08,2022-Q3,2022,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00221,8/5/22,2022-08,2022-Q3,2022,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00222,8/3/22,2022-08,2022-Q3,2022,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00223,8/3/22,2022-08,2022-Q3,2022,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00224,8/3/22,2022-08,2022-Q3,2022,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00225,8/2/22,2022-08,2022-Q3,2022,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00226,8/2/22,2022-08,2022-Q3,2022,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00227,8/1/22,2022-08,2022-Q3,2022,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00228,8/8/22,2022-08,2022-Q3,2022,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00229,8/11/22,2022-08,2022-Q3,2022,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00230,8/11/22,2022-08,2022-Q3,2022,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00231,8/11/22,2022-08,2022-Q3,2022,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00232,8/11/22,2022-08,2022-Q3,2022,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00233,8/16/22,2022-08,2022-Q3,2022,Region 1,Department 2,Municipality 2,-77.03116,3.8801
